"country","city","population"
"Austria","Wien","1714227"
"Afghanistan","Kabul","4434600"
"Antigua and Barbuda","St. John's","22219"
"Albania","Tirana","418495"
"Andorra","Andorra la Vella","19659"
"Armenia","Yerevan","1066264"
"Aruba","Oranjestad","81915"
"Azerbaijan","Baku","2150800"
"Bangladesh","Dhaka","10278882"
"Barbados","Bridgetown","88529"
"Burkina Faso","Ouagadougou","2415266"
"Bulgaria","Sofia","1221785"
"Bhutan","Thimphu","114551"
"Bosnia and Herzegovina","Sarajevo","291422"
"Bahrain","Al ManÄmah","143035"
"Brunei","Bandar Seri Begawan","266682"
"Bahamas","Nassau","248948"
"Belarus","Minsk","1836808"
"Ceuta","Ceuta","84071"
"Colombia","BogotÃ¡","7387400"
"Comoros","Moroni","74749"
"Costa Rica","San JosÃ©","288054"
"Curacao","Willemstad","136660"
"Cape Verde","Praia","137868"
"Cayman Islands","George Town","34399"
"Czech Republic","Praha","1301432"
"Germany","Berlin","3292365"
"Djibouti","Djibouti","475322"
"Dominican Republic","Santo Domingo","2581827"
"Algeria","Algiers","2364230"
"Kenya","Nairobi","4397073"
"Uganda","Kampala","1507114"
"Eritrea","Asmara","896000"
"El Salvador","San Salvador","354174"
"Estonia","Tallinn","437817"
"Egypt","Al Qahirah","9293612"
"France","Paris","2249975"
"Fiji","Suva","185913"
"Liechtenstein","Vaduz","5741"
"Faroe Islands","TÃ³rshavn","13130"
"Micronesia","Palikir","6647"
"Gabon","Libreville","703940"
"Gaza Strip","Gaza","631215"
"United Kingdom","London","8888608"
"Isle of Man","Douglas","26677"
"Guatemala","Ciudad de Guatemala","923392"
"Georgia","Tbilisi","1078297"
"French Guiana","Cayenne","57229"
"Greenland","Nuuk","18326"
"Guinea-Bissau","Bissau","387909"
"Guyana","Georgetown","118363"
"Croatia","Zagreb","663592"
"Italy","Roma","2617175"
"Israel","Yerushalayim","936425"
"Iran","Tehran","8693706"
"Ireland","Dublin","588233"
"Iraq","Baghdad","6719476"
"Iceland","Reykjavik","228415"
"Jamaica","Kingston","662426"
"Jordan","Amman","4007526"
"Cambodia","Phnom Penh","2189460"
"Kyrgyzstan","Bishkek","987600"
"Kiribati","Tarawa","63439"
"Saint Kitts and Nevis","Basseterre","11400"
"Kosovo","Prishtine","198214"
"North Korea","Pyongyang","3255288"
"Kuwait","Al Kuwayt","4464521"
"Luxembourg","Luxembourg","128494"
"Laos","Vientiane","620157"
"Libya","Tripoli","1170000"
"Liberia","Monrovia","1010970"
"Lesotho","Maseru","330760"
"Lithuania","Vilnius","546155"
"Latvia","RÄ«ga","696618"
"Macau","Macao","533635"
"Moldova","ChiÅŸinÄƒu","663400"
"Melilla","Melilla","86450"
"Mexico","Ciudad de MÃ©xico","8843706"
"Marshall Islands","Majuro","23225"
"North Macedonia","Skopje","422540"
"Montenegro","Podgorica","150977"
"Mongolia","Ulaanbaatar","1395773"
"Mozambique","Maputo","1080277"
"Northern Mariana Islands","Saipan","43385"
"Martinique","Fort-de-France","100000"
"Mauritius","Port Louis","149226"
"Maldives","Male","133412"
"Malawi","Lilongwe","9893188"
"Namibia","Windhoek","325858"
"New Caledonia","Noumea","94285"
"Nepal","Kathmandu","845767"
"Nicaragua","Managua","1028808"
"Poland","Warszawa","1860281"
"Pitcairn","Adamstown","50"
"Puerto Rico","San Juan","322854"
"Paraguay","AsunciÃ³n","521600"
"Qatar","Doha","872048"
"Russia","Moskva","13010112"
"Argentina","Buenos Aires","2890151"
"Botswana","Gaborone","244107"
"Central African Republic","Bangui","812407"
"Reunion","Saint-Denis","145347"
"Guinea","Conakry","1667864"
"Haiti","Port-au-Prince","875978"
"Lebanon","BayrÅ«t","1650000"
"Madagascar","Antananarivo","1274225"
"South Korea","Seoul","9586195"
"Uruguay","Montevideo","1318755"
"San Marino","San Marino","4048"
"Togo","LomÃ©","2173800"
"Rwanda","Kigali","859332"
"Sweden","Stockholm","881235"
"Saint Barthelemy","Gustavia","2299"
"Eswatini","Mbabane","60691"
"Finland","Helsinki","614535"
"Singapore","Singapore","5685807"
"Slovakia","Bratislava","475503"
"Sierra Leone","Freetown","1055964"
"Slovenia","Ljubljana","285604"
"Saint Martin","Marigot","5700"
"Suriname","Paramaribo","240924"
"Somalia","Mogadishu","2425000"
"Solomon Islands","Honiara","130176"
"Saint Pierre and Miquelon","Saint-Pierre","5618"
"Serbia","Beograd","1166763"
"South Sudan","Juba","525923"
"Sao Tome and Principe","SÃ£o TomÃ©","66888"
"Sint Maarten","Philipsburg","1327"
"Seychelles","Victoria","24087"
"Chad","N'Djamena","951418"
"Thailand","Bangkok","8305218"
"Timor-Leste","Dili","244584"
"Tunisia","Tunis","637568"
"Tonga","Nukualofa","21185"
"Tokelau","Fakaofo","490"
"Trinidad and Tobago","Port-of-Spain","37074"
"Tuvalu","Funafuti","6320"
"Ukraine","KyÃ¯v","2962180"
"Vatican City","Vatican City","826"
"Virgin Islands","Charlotte Amalie","8194"
"Vanuatu","Port Vila","49528"
"Dominica","Roseau","14725"
"Grenada","Saint George's","38249"
"Saint Lucia","Castries","3661"
"Samoa","Apia","36735"
"Western Sahara","El Aaiun","183691"
"Saint Vincent and the Grenadines","Kingstown","12909"
"Yemen","Sanaa","1527861"
"Zimbabwe","Harare","1491740"
