"name","independence"
"South Sudan","2011-07-09"
"Kosovo","2008-02-17"
"Montenegro","2006-06-03"
"Timor-Leste","2002-05-20"
"Palau","1994-10-01"
"Eritrea","1993-05-27"
"Slovakia","1993-01-01"
"Czech Republic","1993-01-01"
"Serbia","1992-04-11"
"Bosnia and Herzegovina","1992-04-01"
"Kazakhstan","1991-12-16"
"Ukraine","1991-12-01"
"Turkmenistan","1991-10-27"
"North Macedonia","1991-09-17"
"Tajikistan","1991-09-09"
"Latvia","1991-09-06"
"Lithuania","1991-09-06"
"Estonia","1991-09-06"
"Kyrgyzstan","1991-08-31"
"Uzbekistan","1991-08-31"
"Azerbaijan","1991-08-30"
"Moldova","1991-08-27"
"Belarus","1991-08-25"
"Russia","1991-08-24"
"Croatia","1991-06-25"
"Slovenia","1991-06-25"
"Georgia","1991-04-09"
"Yemen","1990-05-22"
"Namibia","1990-03-21"
"Micronesia","1986-11-03"
"Marshall Islands","1986-10-21"
"Brunei","1984-01-01"
"Saint Kitts and Nevis","1983-09-19"
"Antigua and Barbuda","1981-11-01"
"Belize","1981-09-21"
"Vanuatu","1980-07-30"
"Zimbabwe","1980-04-18"
"Saint Vincent and the Grenadines","1979-10-27"
"Kiribati","1979-07-12"
"Saint Lucia","1979-02-22"
"Dominica","1978-11-03"
"Tuvalu","1978-10-01"
"Solomon Islands","1978-07-07"
"Djibouti","1977-06-27"
"Seychelles","1976-06-29"
"Suriname","1975-11-25"
"Angola","1975-11-11"
"Papua New Guinea","1975-09-16"
"Sao Tome and Principe","1975-07-12"
"Comoros","1975-07-06"
"Cape Verde","1975-07-05"
"Mozambique","1975-06-25"
"Niue","1974-10-19"
"Guinea-Bissau","1974-09-10"
"Grenada","1974-02-07"
"Bahamas","1973-07-10"
"Bangladesh","1971-12-16"
"United Arab Emirates","1971-12-02"
"Qatar","1971-09-03"
"Bahrain","1971-08-15"
"Fiji","1970-10-10"
"Tonga","1970-06-04"
"Equatorial Guinea","1968-10-12"
"Eswatini","1968-09-06"
"Mauritius","1968-03-12"
"Nauru","1968-01-31"
"Barbados","1966-11-30"
"Lesotho","1966-10-04"
"Botswana","1966-09-30"
"Guyana","1966-05-26"
"Singapore","1965-08-09"
"Cook Islands","1965-08-04"
"Maldives","1965-07-26"
"Gambia","1965-02-18"
"Zambia","1964-10-24"
"Malta","1964-09-21"
"Malawi","1964-07-06"
"Tanzania","1964-04-26"
"Kenya","1963-12-12"
"Uganda","1962-10-09"
"Trinidad and Tobago","1962-08-31"
"Jamaica","1962-08-06"
"Algeria","1962-07-05"
"Rwanda","1962-07-01"
"Burundi","1962-07-01"
"Samoa","1962-01-01"
"Kuwait","1961-06-19"
"Sierra Leone","1961-04-27"
"Mauritania","1960-11-28"
"Nigeria","1960-10-01"
"Mali","1960-09-22"
"Senegal","1960-08-20"
"Gabon","1960-08-17"
"Cyprus","1960-08-16"
"Congo","1960-08-15"
"Central African Republic","1960-08-13"
"Chad","1960-08-11"
"Cote d'Ivoire","1960-08-07"
"Burkina Faso","1960-08-05"
"Niger","1960-08-03"
"Benin","1960-08-01"
"Somalia","1960-07-01"
"Congo, Dem.Rep.","1960-06-30"
"Madagascar","1960-06-26"
"Togo","1960-04-27"
"Cameroon","1960-01-01"
"Guinea","1958-10-02"
"Malaysia","1957-08-31"
"Ghana","1957-03-06"
"Tunisia","1956-03-20"
"Morocco","1956-03-02"
"Sudan","1956-01-01"
"Libya","1951-12-24"
